Soal,Opsi A,Opsi B,Opsi C,Opsi D,Jawaban Benar
"Apa nama planet terdekat dari Matahari?","Venus","Mars","Merkurius","Jupiter","C"
"Siapakah pencipta lagu Indonesia Raya?","Ismail Marzuki","W.R. Supratman","Ibu Sud","Kusbini","B"
"Berapa hasil dari 15 x 12?","150","170","180","190","C"
"Unsur kimia dengan lambang O adalah...","Emas","Perak","Oksigen","Osmium","C"
"Ibukota negara Jepang adalah...","Seoul","Beijing","Tokyo","Bangkok","C"
"Berapa jumlah sisi pada kubus?","4","5","6","8","C"
"Siapa presiden Indonesia yang pertama?","Soekarno","Soeharto","BJ Habibie","Abdurrahman Wahid","A"
"Apa rumus keliling lingkaran?","πr²","πr","2πr","πd²","C"
"Fungsi dari mitokondria dalam sel adalah...","Sintesis protein","Menghasilkan energi","Menyimpan genetik","Fotosintesis","B"
"Dalam sistem solar, planet terbesar adalah...","Saturnus","Jupiter","Uranus","Neptunus","B"
